subject_id	predicate_id	object_id	mapping_justification	subject_label	object_label	mapping_date	author_id	subject_source	subject_source_version	object_source	object_source_version	confidence	comment
dcterms:description	owl:equivalentProperty	sdo:description	semapv:ManualMappingCuration	description	description		https://orcid.org/0000-0002-3884-3420	https://www.w3.org/TR/vocab-dcat-2/	2	https://schema.org/			
dcterms:title	owl:equivalentProperty	sdo:name	semapv:ManualMappingCuration				https://orcid.org/0000-0002-3884-3420	https://www.w3.org/TR/vocab-dcat-2/	2	https://schema.org/			
sdo:encodingFormat	rdfs:subPropertyOf	dcterms:format	semapv:ManualMappingCuration				https://orcid.org/0000-0002-3884-3420	https://schema.org/		https://www.w3.org/TR/vocab-dcat-2/	2		
dcterms:identifier	owl:equivalentProperty	sdo:identifier	semapv:ManualMappingCuration				https://orcid.org/0000-0002-3884-3420	https://www.w3.org/TR/vocab-dcat-2/	2	https://schema.org/			
dcterms:issued	skos:closeMatch	sdo:datePublished	semapv:ManualMappingCuration				https://orcid.org/0000-0002-3884-3420	https://www.w3.org/TR/vocab-dcat-2/	2	https://schema.org/			
dcterms:language	owl:equivalentProperty	sdo:inLanguage	semapv:ManualMappingCuration				https://orcid.org/0000-0002-3884-3420	https://www.w3.org/TR/vocab-dcat-2/	2	https://schema.org/			
dcterms:license	owl:equivalentProperty	sdo:license	semapv:ManualMappingCuration				https://orcid.org/0000-0002-3884-3420	https://www.w3.org/TR/vocab-dcat-2/	2	https://schema.org/			
dcterms:modified	owl:equivalentProperty	sdo:dateModified	semapv:ManualMappingCuration				https://orcid.org/0000-0002-3884-3420	https://www.w3.org/TR/vocab-dcat-2/	2	https://schema.org/			
dcterms:publisher	owl:equivalentProperty	sdo:publisher	semapv:ManualMappingCuration				https://orcid.org/0000-0002-3884-3420	https://www.w3.org/TR/vocab-dcat-2/	2	https://schema.org/			
dcterms:spatial	owl:equivalentProperty	sdo:spatialCoverage	semapv:ManualMappingCuration				https://orcid.org/0000-0002-3884-3420	https://www.w3.org/TR/vocab-dcat-2/	2	https://schema.org/			
dcterms:temporal	owl:equivalentProperty	sdo:temporalCoverage 	semapv:ManualMappingCuration				https://orcid.org/0000-0002-3884-3420	https://www.w3.org/TR/vocab-dcat-2/	2	https://schema.org/			
dcterms:type	skos:closeMatch	sdo:additionalType	semapv:ManualMappingCuration				https://orcid.org/0000-0002-3884-3420	https://www.w3.org/TR/vocab-dcat-2/	2	https://schema.org/			
sdo:DataCatalog	rdfs:subClassOf	dcat:Catalog	semapv:ManualMappingCuration				https://orcid.org/0000-0002-3884-3420	https://schema.org/		https://www.w3.org/TR/vocab-dcat-2/	2		
dcat:DataService	skos:closeMatch	sdo:DataFeed	semapv:ManualMappingCuration				https://orcid.org/0000-0002-3884-3420	https://www.w3.org/TR/vocab-dcat-2/	2	https://schema.org/			
dcat:Dataset	owl:equivalentClass	sdo:Dataset	semapv:ManualMappingCuration				https://orcid.org/0000-0002-3884-3420	https://www.w3.org/TR/vocab-dcat-2/	2	https://schema.org/			
sdo:DataDownload	rdfs:subClassOf	dcat:Distribution	semapv:ManualMappingCuration				https://orcid.org/0000-0002-3884-3420	https://schema.org/		https://www.w3.org/TR/vocab-dcat-2/	2		
dcat:Resource	rdfs:subClassOf	sdo:Thing	semapv:ManualMappingCuration				https://orcid.org/0000-0002-3884-3420	https://www.w3.org/TR/vocab-dcat-2/	2	https://schema.org/			
dcat:accessURL	rdfs:subPropertyOf	sdo:contentUrl	semapv:ManualMappingCuration				https://orcid.org/0000-0002-3884-3420	https://www.w3.org/TR/vocab-dcat-2/	2	https://schema.org/			
dcat:byteSize	rdfs:subPropertyOf	sdo:contentSize	semapv:ManualMappingCuration				https://orcid.org/0000-0002-3884-3420	https://www.w3.org/TR/vocab-dcat-2/	2	https://schema.org/			
dcat:catalog	rdfs:subPropertyOf	sdo:includedInDataCatalog	semapv:ManualMappingCuration				https://orcid.org/0000-0002-3884-3420	https://www.w3.org/TR/vocab-dcat-2/	2	https://schema.org/			
dcat:contactPoint	owl:equivalentProperty	sdo:contactPoint	semapv:ManualMappingCuration				https://orcid.org/0000-0002-3884-3420	https://www.w3.org/TR/vocab-dcat-2/	2	https://schema.org/			
dcat:dataset	owl:equivalentProperty	sdo:dataset	semapv:ManualMappingCuration				https://orcid.org/0000-0002-3884-3420	https://www.w3.org/TR/vocab-dcat-2/	2	https://schema.org/			
dcat:distribution	owl:equivalentProperty	sdo:additionalType	semapv:ManualMappingCuration				https://orcid.org/0000-0002-3884-3420	https://www.w3.org/TR/vocab-dcat-2/	2	https://schema.org/			
dcat:downloadURL	rdfs:subPropertyOf	sdo:contentUrl	semapv:ManualMappingCuration				https://orcid.org/0000-0002-3884-3420	https://www.w3.org/TR/vocab-dcat-2/	2	https://schema.org/			
dcat:keyword	rdfs:subPropertyOf	sdo:keywords	semapv:ManualMappingCuration				https://orcid.org/0000-0002-3884-3420	https://www.w3.org/TR/vocab-dcat-2/	2	https://schema.org/			
dcat:landingPage	rdfs:subPropertyOf	sdo:url	semapv:ManualMappingCuration				https://orcid.org/0000-0002-3884-3420	https://www.w3.org/TR/vocab-dcat-2/	2	https://schema.org/			
dcat:mediaType	rdfs:subPropertyOf	sdo:encodingFormat	semapv:ManualMappingCuration				https://orcid.org/0000-0002-3884-3420	https://www.w3.org/TR/vocab-dcat-2/	2	https://schema.org/			
dcat:theme	owl:equivalentProperty	sdo:about	semapv:ManualMappingCuration				https://orcid.org/0000-0002-3884-3420	https://www.w3.org/TR/vocab-dcat-2/	2	https://schema.org/			
foaf:Organization	owl:equivalentClass	sdo:Organization	semapv:ManualMappingCuration				https://orcid.org/0000-0002-3884-3420	https://www.w3.org/TR/vocab-dcat-2/	2	https://schema.org/			
foaf:Person	owl:equivalentClass	sdo:Person	semapv:ManualMappingCuration				https://orcid.org/0000-0002-3884-3420	https://www.w3.org/TR/vocab-dcat-2/	2	https://schema.org/			
foaf:page	owl:equivalentProperty	sdo:url	semapv:ManualMappingCuration				https://orcid.org/0000-0002-3884-3420	https://www.w3.org/TR/vocab-dcat-2/	2	https://schema.org/			
foaf:mbox	owl:equivalentProperty	sdo:email	semapv:ManualMappingCuration				https://orcid.org/0000-0002-3884-3420	https://www.w3.org/TR/vocab-dcat-2/	2	https://schema.org/			
